C,N,Vb,Vc,Fat,cellulose,Weightgain
0,20,0.1,3,5,76.9,0.1952
40,5,1,0,5,54,0.0707
20,10,0.1,0,15,69.9,0.1425
5,40,0.5,0,10,54.5,0.13
10,40,0.1,0.5,5,48.9,0.1759
10,20,3,0,2.5,67,0.1342
10,20,3,0,2.5,67,0.1323
20,0,0.5,3,2.5,76.5,0.0174
10,40,0.1,1,0,48.9,0.1918
5,5,0.1,0.1,2.5,89.8,0.1639
5,5,0.1,0.1,2.5,89.8,0.1203
20,20,1,1,10,58,0.1289
0,0,0,0,0,100,0.0496
0,20,0.1,3,5,76.9,0.1777
20,40,0,0.1,5,39.9,0.169
10,40,0.1,1,0,48.9,0.1572
10,40,1,1,5,48.9,0.1486
10,40,0.1,0.5,5,48.9,0.19
5,0,3,1,5,91,0.0498
10,20,3,0,2.5,67,0.1627
10,0,1,0.1,15,88.9,0.0222
40,0,0.1,0.5,10,59.4,0.0562
0,20,0.1,3,5,76.9,0.1815
10,0,1,0.1,15,88.9,0.0753
40,5,1,0,5,54,0.081
10,40,5,1,5,48.9,0.1528
5,5,0.1,0.1,2.5,89.8,0.0558
10,10,0.5,0.5,5,79,0.129
5,40,0.5,0,10,54.5,0.1429
5,20,0,0.5,15,74.5,0.1213
5,40,0.5,0,10,54.5,0.1289
10,40,0.1,1,10,48.9,0.1280 
40,0,0.1,0.5,10,59.4,0.0777
10,20,3,0,2.5,67,0.1302
0,10,3,0.1,10,86.9,0.1114
10,40,0.1,1,0,48.9,0.219
0,40,1,0.5,2.5,58.5,0.1301
10,40,0.1,1,0,48.9,0.1721
0,5,0.5,1,15,93.5,0.0947
0,10,3,0.1,10,86.9,0.149
40,40,3,3,15,14,0.0278
0,0,0,0,0,100,0.0512
0,10,3,0.1,10,86.9,0.1118
40,10,0,1,2.5,49,0.0699
10,40,5,1,5,48.9,0.1900 
40,40,3,3,15,14,0.0352
10,40,1,1,5,48.9,0.0988
40,10,0,1,2.5,49,0.0814
5,20,0,0.5,15,74.5,0.1768
0,40,1,0.5,2.5,58.5,0.0668
20,40,0,0.1,5,39.9,0.1548
20,40,0,0.1,5,39.9,0.1393
10,40,0.1,1,15,48.9,0.0577
10,40,0.1,1,0,48.9,0.1695
10,0,1,0.1,15,88.9,0.0278
10,40,0.1,0.5,5,48.9,0.144
40,20,0.5,0.1,0,39.4,0.0857
0,20,0.1,3,5,76.9,0.1808
10,0,1,0.1,15,88.9,0.0231
5,10,1,3,0,81,0.1301
10,40,5,1,5,48.9,0.1465
5,10,1,3,0,81,0.0787
40,40,3,3,15,14,0.0345
20,0,0.5,3,2.5,76.5,0.0542
5,10,1,3,0,81,0.1293
5,40,0.5,0,10,54.5,0.16
20,10,0.1,0,15,69.9,0.1332
0,10,3,0.1,10,86.9,0.1051
5,40,0.5,0,10,54.5,0.1868
10,40,0.1,1,5,48.9,0.1863
40,40,3,3,15,14,0.0357
10,40,0.1,1,5,48.9,0.2187
10,40,0,1,5,48.9,0.0954
10,40,0.1,0.5,5,48.9,0.1935
10,40,0.1,1,0,48.9,0.2199
10,40,0.1,1,30,48.9,0.0339
10,40,0,1,5,48.9,0.1016
10,40,0.1,0.1,5,48.9,0.1098
20,5,3,0.5,0,71.5,0.0979
10,40,0.1,1,0,48.9,0.162
40,0,0.1,0.5,10,59.4,0.0795
0,20,0.1,3,5,76.9,0.1518
5,10,1,3,0,81,0.1225
20,0,0.5,3,2.5,76.5,0.0166
20,40,0,0.1,5,39.9,0.0927
20,20,1,1,10,58,0.1425
0,10,3,0.1,10,86.9,0.1561
40,10,0,1,2.5,49,0.0887
10,40,0.1,1,15,48.9,0.0488
20,0,0.5,3,2.5,76.5,0.0215
5,20,0,0.5,15,74.5,0.099
40,10,0,1,2.5,49,0.1106
20,10,0.1,0,15,69.9,0.1339
10,40,0.1,1,0,48.9,0.2123
20,10,0.1,0,15,69.9,0.1417
10,20,3,0,2.5,67,0.1611
10,40,0.1,1,30,48.9,0.0339
20,0,0.5,3,2.5,76.5,0.0185
0,40,1,0.5,2.5,58.5,0.1871
10,40,0.1,0,5,48.9,0.0381
10,40,0.1,0.5,5,48.9,0.2145
40,10,0,1,2.5,49,0.0607
0,0,0,0,0,100,0.0485
10,40,0.1,1,0,48.9,0.163
5,40,0.5,0,10,54.5,0.1743
40,10,0,1,2.5,49,0.046
20,20,1,1,10,58,0.0989
5,20,0,0.5,15,74.5,0.1631
40,5,1,0,5,54,0.0607
0,20,0.1,3,5,76.9,0.1875
20,40,0,0.1,5,39.9,0.1382
5,10,1,3,0,81,0.1195
10,20,3,0,2.5,67,0.1078
5,10,1,3,0,81,0.13
5,0,3,1,5,91,0.053
10,0,1,0.1,15,88.9,0.0309
10,5,0,3,10,82,0.0651
10,40,0.1,0.5,5,48.9,0.1476
0,40,1,0.5,2.5,58.5,0.1494
10,40,0.1,1,5,48.9,0.1890 
20,20,1,1,10,58,0.1253
5,10,1,3,0,81,0.1212
60,40,0.1,0.5,5,48.9,0.0675
40,20,0.5,0.1,0,39.4,0.1385
10,20,3,0,2.5,67,0.1422
10,40,0.1,0.1,5,48.9,0.1226
20,0,0.5,3,2.5,76.5,0.0327
10,40,0.1,1,10,48.9,0.1624
5,10,1,3,0,81,0.029
0,40,1,0.5,2.5,58.5,0.2105
0,20,0.1,3,5,76.9,0.1067
5,0,3,1,5,91,0.0239
40,20,0.5,0.1,0,39.4,0.0589
5,5,0.1,0.1,2.5,89.8,0.0704
30,40,0.1,0.5,5,48.9,0.1749
5,5,0.1,0.1,2.5,89.8,0.1219
5,40,0.5,0,10,54.5,0.196
0,5,0.5,1,15,93.5,0.106
0,5,0.5,1,15,93.5,0.1238
40,0,0.1,0.5,10,59.4,0.0627
40,40,3,3,15,14,0.0509
5,5,0.1,0.1,2.5,89.8,0.1204
20,40,0,0.1,5,39.9,0.1387
5,5,0.1,0.1,2.5,89.8,0.0904
10,5,0,3,10,82,0.041
40,20,0.5,0.1,0,39.4,0.0706
0,20,0.1,3,5,76.9,0.1165
40,20,0.5,0.1,0,39.4,0.0883
20,20,1,1,10,58,0.0986
20,5,3,0.5,0,71.5,0.1114
40,0,0.1,0.5,10,59.4,0.0314
40,10,0,1,2.5,49,0.0905
10,0,1,0.1,15,88.9,0.0236
40,10,0,1,2.5,49,0.1168
10,10,0.5,0.5,5,79,0.1419
40,0,0.1,0.5,10,59.4,0.0892
0,20,0.1,3,5,76.9,0.1341
0,10,3,0.1,10,86.9,0.0824
40,0,0.1,0.5,10,59.4,0.0533
10,40,0.1,1,0,48.9,0.1799
10,40,5,1,5,48.9,0.146
0,40,1,0.5,2.5,58.5,0.1836
10,40,0.1,1,0,48.9,0.1530 
20,40,0,0.1,5,39.9,0.1424
20,10,0.1,0,15,69.9,0.0783
40,0,0.1,0.5,10,59.4,0.0746
40,0,0.1,0.5,10,59.4,0.0781
0,5,0.5,1,15,93.5,0.1182
10,0,1,0.1,15,88.9,0.0514
40,40,3,3,15,14,0.0605
40,10,0,1,2.5,49,0.0546
40,10,0,1,2.5,49,0.0584
10,0,1,0.1,15,88.9,0.038
0,10,3,0.1,10,86.9,0.1478
30,40,0.1,0.5,5,48.9,0.1432
10,40,0.1,0,5,48.9,0.062
40,10,0,1,2.5,49,0.1253
5,20,0,0.5,15,74.5,0.151
10,20,3,0,2.5,67,0.1185
20,0,0.5,3,2.5,76.5,0.0241
20,0,0.5,3,2.5,76.5,0.0434
10,40,1,1,5,48.9,0.1714
0,5,0.5,1,15,93.5,0.0916
0,40,1,0.5,2.5,58.5,0.1812
0,0,0,0,0,100,0.0305
20,40,0,0.1,5,39.9,0.1437
40,5,1,0,5,54,0.071
40,5,1,0,5,54,0.08
20,0,0.5,3,2.5,76.5,0.0219
0,20,0.1,3,5,76.9,0.1599
0,0,0,0,0,100,0.0519
10,40,0.1,1,0,48.9,0.1676
5,10,1,3,0,81,0.0809
40,20,0.5,0.1,0,39.4,0.0628
20,0,0.5,3,2.5,76.5,0.04
10,40,0,1,5,48.9,0.083
0,5,0.5,1,15,93.5,0.052
5,20,0,0.5,15,74.5,0.1846
10,40,1,1,5,48.9,0.1866
10,40,0.1,1,0,48.9,0.122
10,40,0,1,5,48.9,0.1453
40,5,1,0,5,54,0.0763
10,10,0.5,0.5,5,79,0.1382
40,0,0.1,0.5,10,59.4,0.027
10,20,3,0,2.5,67,0.1073
0,20,0.1,3,5,76.9,0.1666
0,0,0,0,0,100,0.0456
40,40,3,3,15,14,0.0274
5,40,0.5,0,10,54.5,0.183
10,40,0,1,5,48.9,0.0941
20,5,3,0.5,0,71.5,0.0558
5,20,0,0.5,15,74.5,0.1435
10,40,0.1,1,15,48.9,0.0588
10,20,3,0,2.5,67,0.1329
60,40,0.1,0.5,5,48.9,0.0552
0,10,3,0.1,10,86.9,0.1333
20,20,1,1,10,58,0.0347
10,40,0.1,1,15,48.9,0.0548
10,40,0.1,0.5,5,48.9,0.1864
0,40,0.1,0.5,5,48.9,0.0666
5,40,0.5,0,10,54.5,0.1612
20,0,0.5,3,2.5,76.5,0.0451
20,5,3,0.5,0,71.5,0.1002
10,5,0,3,10,82,0.0726
10,40,0.1,1,10,48.9,0.1464
10,40,0.1,1,30,48.9,0.0524
10,10,0.5,0.5,5,79,0.0957
20,20,1,1,10,58,0.1274
10,0,1,0.1,15,88.9,0.0246
10,40,0.1,1,10,48.9,0.1806
40,5,1,0,5,54,0.056
5,40,0.5,0,10,54.5,0.1725
40,0,0.1,0.5,10,59.4,0.0598
5,20,0,0.5,15,74.5,0.1397
5,0,3,1,5,91,0.0185
5,10,1,3,0,81,0.0895
20,5,3,0.5,0,71.5,0.0891
40,5,1,0,5,54,0.032
0,40,0.1,0.5,5,48.9,0.09
40,10,0,1,2.5,49,0.0836
10,0,1,0.1,15,88.9,0.068
0,10,3,0.1,10,86.9,0.0843
0,20,0.1,3,5,76.9,0.1429
0,10,3,0.1,10,86.9,0.1075
10,40,0.1,1,0,48.9,0.1952
20,40,0,0.1,5,39.9,0.1415
10,20,3,0,2.5,67,0.0992
20,0,0.5,3,2.5,76.5,0.0374
20,10,0.1,0,15,69.9,0.0835
5,5,0.1,0.1,2.5,89.8,0.1338
10,10,0.5,0.5,5,79,0.087
20,20,1,1,10,58,0.1345
10,5,0,3,10,82,0.0704
0,40,1,0.5,2.5,58.5,0.179
5,20,0,0.5,15,74.5,0.1621
10,40,0.1,1,0,48.9,0.1299
0,20,0.1,3,5,76.9,0.1122
10,10,0.5,0.5,5,79,0.1467
20,40,0,0.1,5,39.9,0.0916
5,5,0.1,0.1,2.5,89.8,0.0728
10,10,0.5,0.5,5,79,0.0625
20,40,0,0.1,5,39.9,0.1245
10,10,0.5,0.5,5,79,0.1433
20,5,3,0.5,0,71.5,0.074
10,40,0.1,0,5,48.9,0.0775
10,5,0,3,10,82,0.0854
20,40,0,0.1,5,39.9,0.1298
20,5,3,0.5,0,71.5,0.101
20,0,0.5,3,2.5,76.5,0.0545
0,5,0.5,1,15,93.5,0.0933
10,40,0.1,0.5,5,48.9,0.2003
10,0,1,0.1,15,88.9,0.0331
40,10,0,1,2.5,49,0.0781
5,0,3,1,5,91,0.0459
20,0,0.5,3,2.5,76.5,0.0262
0,0,0,0,0,100,0.0571
0,10,3,0.1,10,86.9,0.1166
20,10,0.1,0,15,69.9,0.1508
5,5,0.1,0.1,2.5,89.8,0.1199
20,10,0.1,0,15,69.9,0.1015
5,20,0,0.5,15,74.5,0.1745
5,5,0.1,0.1,2.5,89.8,0.1172
40,10,0,1,2.5,49,0.0525
10,10,0.5,0.5,5,79,0.093
0,5,0.5,1,15,93.5,0.1033
40,5,1,0,5,54,0.0481
20,20,1,1,10,58,0.13
40,5,1,0,5,54,0.0908
40,40,3,3,15,14,0.0589
0,40,1,0.5,2.5,58.5,0.095
0,40,1,0.5,2.5,58.5,0.2047
5,5,0.1,0.1,2.5,89.8,0.161
20,40,0,0.1,5,39.9,0.1108
10,20,3,0,2.5,67,0.1476
20,0,0.5,3,2.5,76.5,0.0589
40,20,0.5,0.1,0,39.4,0.0732
0,5,0.5,1,15,93.5,0.0913
5,10,1,3,0,81,0.1434
5,40,0.5,0,10,54.5,0.1701
10,40,5,1,5,48.9,0.1488
10,40,5,1,5,48.9,0.1640 
40,0,0.1,0.5,10,59.4,0.0783
5,0,3,1,5,91,0.028
10,0,1,0.1,15,88.9,0.0208
10,40,0,1,5,48.9,0.1342
0,40,1,0.5,2.5,58.5,0.2128
5,0,3,1,5,91,0.0229
10,5,0,3,10,82,0.0699
0,40,1,0.5,2.5,58.5,0.2037
10,40,0.1,1,10,48.9,0.1240 
20,10,0.1,0,15,69.9,0.0802
20,20,1,1,10,58,0.1283
20,0,0.5,3,2.5,76.5,0.0315
5,10,1,3,0,81,0.1147
10,20,3,0,2.5,67,0.1883
0,20,0.1,3,5,76.9,0.0943
20,10,0.1,0,15,69.9,0.1029
5,20,0,0.5,15,74.5,0.1039
0,0,0,0,0,100,0.0458
0,0,0,0,0,100,0.0655
20,5,3,0.5,0,71.5,0.1064
10,40,0.1,1,0,48.9,0.203
20,0,0.5,3,2.5,76.5,0.0562
20,10,0.1,0,15,69.9,0.1354
5,20,0,0.5,15,74.5,0.1887
10,5,0,3,10,82,0.1027
5,0,3,1,5,91,0.0459
5,5,0.1,0.1,2.5,89.8,0.147
20,10,0.1,0,15,69.9,0.1498
0,0,0,0,0,100,0.0455
5,5,0.1,0.1,2.5,89.8,0.1515
10,5,0,3,10,82,0.0874
0,10,3,0.1,10,86.9,0.1284
5,10,1,3,0,81,0.0773
20,40,0,0.1,5,39.9,0.1379
10,0,1,0.1,15,88.9,0.0702
60,40,0.1,0.5,5,48.9,0.0404
20,10,0.1,0,15,69.9,0.1239
5,5,0.1,0.1,2.5,89.8,0.1203
40,0,0.1,0.5,10,59.4,0.0756
0,40,1,0.5,2.5,58.5,0.1995
40,5,1,0,5,54,0.0657
0,10,3,0.1,10,86.9,0.0801
0,0,0,0,0,100,0.038
10,0,1,0.1,15,88.9,0.0583
40,10,0,1,2.5,49,0.049
10,40,0.1,0.5,5,48.9,0.157
10,40,0.1,1,15,48.9,0.0822
40,40,3,3,15,14,0.0516
40,0,0.1,0.5,10,59.4,0.0514
10,20,3,0,2.5,67,0.1087
10,40,1,1,5,48.9,0.1907
20,10,0.1,0,15,69.9,0.026
5,10,1,3,0,81,0.0586
