C,N,Vb,Vc,Fat,cellulose,Weightgain
5,0,3,1,5,91,0.0578
0,0,0,0,0,100,0.0459
10,40,0.1,1,10,48.9,0.1342
5,10,1,3,0,81,0.062
40,10,0,1,2.5,49,0.1037
0,20,0.1,3,5,76.9,0.1566
20,20,1,1,10,58,0.1334
0,40,1,0.5,2.5,58.5,0.1706
5,20,0,0.5,15,74.5,0.164
10,40,0.1,5,5,48.9,0.0864
40,5,1,0,5,54,0.0917
5,20,0,0.5,15,74.5,0.1775
5,0,3,1,5,91,0.0364
10,40,0.1,5,5,48.9,0.1419
5,5,0.1,0.1,2.5,89.8,0.1453
5,40,0.5,0,10,54.5,0.1122
10,10,0.5,0.5,5,79,0.1368
10,10,0.5,0.5,5,79,0.1424
20,20,1,1,10,58,0.0634
40,10,0,1,2.5,49,0.1042
10,40,0.1,1,0,48.9,0.1625
20,0,0.5,3,2.5,76.5,0.0212
5,20,0,0.5,15,74.5,0.1639
10,0,1,0.1,15,88.9,0.0369
10,10,0.5,0.5,5,79,0.091
40,10,0,1,2.5,49,0.0852
20,10,0.1,0,15,69.9,0.0413
5,20,0,0.5,15,74.5,0.1944
20,20,1,1,10,58,0.0447
5,10,1,3,0,81,0.0655
10,40,0.1,1,30,48.9,0.0591
0,20,0.1,3,5,76.9,0.1104
10,0,1,0.1,15,88.9,0.0293
20,5,3,0.5,0,71.5,0.0763
10,40,0.1,0.5,5,48.9,0.1687
5,10,1,3,0,81,0.123
40,10,0,1,2.5,49,0.0618
40,20,0.5,0.1,0,39.4,0.1049
40,20,0.5,0.1,0,39.4,0.0889
10,40,0.1,0.1,5,48.9,0.1348
30,40,0.1,0.5,5,48.9,0.1672
10,0,1,0.1,15,88.9,0.0587
5,40,0.5,0,10,54.5,0.2191
40,0,0.1,0.5,10,59.4,0.0762
5,0,3,1,5,91,0.0166
0,0,0,0,0,100,0.0338
40,40,3,3,15,14,0.0459
0,5,0.5,1,15,93.5,0.0841
10,40,0.1,1,15,48.9,0.0651
10,0,1,0.1,15,88.9,0.0229
30,40,0.1,0.5,5,48.9,0.1688
10,10,0.5,0.5,5,79,0.0812
40,40,3,3,15,14,0.0314
40,10,0,1,2.5,49,0.0507
40,40,3,3,15,14,0.0428
10,40,0.1,1,0,48.9,0.1375
20,20,1,1,10,58,0.0321
20,10,0.1,0,15,69.9,0.1127
0,40,1,0.5,2.5,58.5,0.1751
40,0,0.1,0.5,10,59.4,0.061
0,5,0.5,1,15,93.5,0.0508
5,20,0,0.5,15,74.5,0.1747
5,5,0.1,0.1,2.5,89.8,0.1067
5,40,0.5,0,10,54.5,0.1286
10,10,0.5,0.5,5,79,0.0939
40,0,0.1,0.5,10,59.4,0.0434
20,10,0.1,0,15,69.9,0.1435
40,5,1,0,5,54,0.0809
0,10,3,0.1,10,86.9,0.1021
0,10,3,0.1,10,86.9,0.1342
10,20,3,0,2.5,67,0.122
10,40,0.1,5,5,48.9,0.1326
10,40,0.1,1,0,48.9,0.1897
40,20,0.5,0.1,0,39.4,0.0968
10,40,0.1,0.1,5,48.9,0.114
40,20,0.5,0.1,0,39.4,0.0888
20,40,0.1,0.5,5,48.9,0.1832
10,40,0.1,0.1,5,48.9,0.1138
10,40,0.1,1,30,48.9,0.022
10,40,1,1,5,48.9,0.1836
40,0,0.1,0.5,10,59.4,0.0456
0,20,0.1,3,5,76.9,0.1391
20,40,0,0.1,5,39.9,0.1349
20,10,0.1,0,15,69.9,0.119
0,20,0.1,3,5,76.9,0.104
0,20,0.1,3,5,76.9,0.1059
10,10,0.5,0.5,5,79,0.0805
10,5,0,3,10,82,0.0763
10,10,0.5,0.5,5,79,0.0597
20,20,1,1,10,58,0.1246
0,40,1,0.5,2.5,58.5,0.1776
10,40,0.1,0,5,48.9,0.0731
0,0,0,0,0,100,0.0406
40,5,1,0,5,54,0.0912
5,0,3,1,5,91,0.0584
10,40,0.1,1,0,48.9,0.2151
20,10,0.1,0,15,69.9,0.0283
10,40,0.1,0.5,5,48.9,0.2062
0,40,1,0.5,2.5,58.5,0.21
10,20,3,0,2.5,67,0.1377
20,40,0,0.1,5,39.9,0.1527
40,40,3,3,15,14,0.0406
5,0,3,1,5,91,0.0554
20,5,3,0.5,0,71.5,0.1168
20,10,0.1,0,15,69.9,0.1153
20,40,0,0.1,5,39.9,0.1044
10,10,0.5,0.5,5,79,0.1287
40,20,0.5,0.1,0,39.4,0.0933
5,20,0,0.5,15,74.5,0.1511
10,0,1,0.1,15,88.9,0.0792
5,20,0,0.5,15,74.5,0.1645
0,0,0,0,0,100,0.059
40,5,1,0,5,54,0.0594
10,40,0.1,1,0,48.9,0.1541
20,0,0.5,3,2.5,76.5,0.0184
0,20,0.1,3,5,76.9,0.1582
40,0,0.1,0.5,10,59.4,0.0584
0,20,0.1,3,5,76.9,0.0744
40,5,1,0,5,54,0.0446
40,5,1,0,5,54,0.0595
10,5,0,3,10,82,0.0907
10,10,0.5,0.5,5,79,0.0714
10,40,0.1,0.1,5,48.9,0.0408
40,40,3,3,15,14,0.0296
10,40,0.1,0.5,5,48.9,0.2045
10,40,0.1,0.5,5,48.9,0.2073
20,0,0.5,3,2.5,76.5,0.0253
5,5,0.1,0.1,2.5,89.8,0.0735
40,0,0.1,0.5,10,59.4,0.0821
10,10,0.5,0.5,5,79,0.0619
5,40,0.5,0,10,54.5,0.208
5,0,3,1,5,91,0.0365
0,10,3,0.1,10,86.9,0.1155
40,20,0.5,0.1,0,39.4,0.1042
0,5,0.5,1,15,93.5,0.0764
20,5,3,0.5,0,71.5,0.059
5,0,3,1,5,91,0.0324
10,0,1,0.1,15,88.9,0.0251
10,10,0.5,0.5,5,79,0.0986
40,20,0.5,0.1,0,39.4,0.1292
0,10,3,0.1,10,86.9,0.1258
10,40,1,1,5,48.9,0.1650 
10,5,0,3,10,82,0.0758
10,40,0.1,1,0,48.9,0.1591
40,10,0,1,2.5,49,0.0915
10,40,0.1,1,5,48.9,0.1834 
20,5,3,0.5,0,71.5,0.108
10,10,0.5,0.5,5,79,0.1169
5,0,3,1,5,91,0.0544
10,5,0,3,10,82,0.063
10,5,0,3,10,82,0.1105
10,40,0.1,1,30,48.9,0.0444
0,40,1,0.5,2.5,58.5,0.1779
10,20,3,0,2.5,67,0.1377
5,5,0.1,0.1,2.5,89.8,0.149
10,20,3,0,2.5,67,0.1634
10,40,0.1,1,30,48.9,0.0517
20,40,0,0.1,5,39.9,0.1496
20,40,0,0.1,5,39.9,0.1249
40,20,0.5,0.1,0,39.4,0.1208
40,20,0.5,0.1,0,39.4,0.1013
10,40,0.1,5,5,48.9,0.1513
10,40,0,1,5,48.9,0.1012
5,0,3,1,5,91,0.0322
0,40,0.1,0.5,5,48.9,0.0765
20,40,0.1,0.5,5,48.9,0.1833
20,20,1,1,10,58,0.0962
10,10,0.5,0.5,5,79,0.1033
0,10,3,0.1,10,86.9,0.0597
10,5,0,3,10,82,0.0858
0,5,0.5,1,15,93.5,0.1164
10,40,0.1,5,5,48.9,0.0623
10,20,3,0,2.5,67,0.1146
10,40,0.1,5,5,48.9,0.0595
5,0,3,1,5,91,0.0469
40,40,3,3,15,14,0.0286
30,40,0.1,0.5,5,48.9,0.1877
20,20,1,1,10,58,0.1008
10,40,1,1,5,48.9,0.1526
40,10,0,1,2.5,49,0.0963
0,0,0,0,0,100,0.0455
60,40,0.1,0.5,5,48.9,0.0534
10,0,1,0.1,15,88.9,0.0709
0,40,1,0.5,2.5,58.5,0.1991
10,40,0.1,1,0,48.9,0.2146
20,40,0,0.1,5,39.9,0.1146
40,40,3,3,15,14,0.0585
10,5,0,3,10,82,0.0896
40,5,1,0,5,54,0.097
0,5,0.5,1,15,93.5,0.1063
10,0,1,0.1,15,88.9,0.0378
0,10,3,0.1,10,86.9,0.103
0,10,3,0.1,10,86.9,0.1007
40,0,0.1,0.5,10,59.4,0.0423
5,0,3,1,5,91,0.0449
0,40,1,0.5,2.5,58.5,0.1862
20,0,0.5,3,2.5,76.5,0.0198
5,40,0.5,0,10,54.5,0.123
10,0,1,0.1,15,88.9,0.0299
40,20,0.5,0.1,0,39.4,0.0965
20,5,3,0.5,0,71.5,0.0466
40,40,3,3,15,14,0.0473
10,20,3,0,2.5,67,0.1755
10,10,0.5,0.5,5,79,0.1398
40,0,0.1,0.5,10,59.4,0.0366
5,40,0.5,0,10,54.5,0.1423
10,40,0.1,5,5,48.9,0.1676
5,20,0,0.5,15,74.5,0.1737
20,10,0.1,0,15,69.9,0.1084
0,10,3,0.1,10,86.9,0.0794
0,5,0.5,1,15,93.5,0.1067
10,40,0.1,1,0,48.9,0.1651
40,20,0.5,0.1,0,39.4,0.0977
10,40,1,1,5,48.9,0.1521
40,40,3,3,15,14,0.0449
10,10,0.5,0.5,5,79,0.1223
20,0,0.5,3,2.5,76.5,0.0206
10,40,0.1,1,15,48.9,0.0533
40,10,0,1,2.5,49,0.0921
10,0,1,0.1,15,88.9,0.0752
5,5,0.1,0.1,2.5,89.8,0.0922
0,5,0.5,1,15,93.5,0.1083
10,40,0.1,1,5,48.9,0.222
20,20,1,1,10,58,0.0669
10,40,1,1,5,48.9,0.1789
40,5,1,0,5,54,0.0818
5,10,1,3,0,81,0.0837
5,20,0,0.5,15,74.5,0.1714
10,40,0,1,5,48.9,0.0997
20,5,3,0.5,0,71.5,0.0588
10,40,0.1,1,5,48.9,0.1736
40,5,1,0,5,54,0.0424
10,5,0,3,10,82,0.0941
20,20,1,1,10,58,0.0959
40,20,0.5,0.1,0,39.4,0.0772
20,20,1,1,10,58,0.1305
0,20,0.1,3,5,76.9,0.1047
0,0,0,0,0,100,0.0552
10,40,0.1,1,5,48.9,0.183
10,5,0,3,10,82,0.1075
40,40,3,3,15,14,0.0399
0,5,0.5,1,15,93.5,0.1114
10,40,0.1,0.1,5,48.9,0.1141
5,0,3,1,5,91,0.0265
20,20,1,1,10,58,0.0625
5,0,3,1,5,91,0.0173
10,40,0.1,1,0,48.9,0.1924
20,20,1,1,10,58,0.1187
10,40,0.1,0,5,48.9,0.0913
10,40,0.1,0,5,48.9,0.0886
0,40,1,0.5,2.5,58.5,0.1862
40,20,0.5,0.1,0,39.4,0.146
0,20,0.1,3,5,76.9,0.1265
40,40,3,3,15,14,0.0204
0,0,0,0,0,100,0.0579
10,5,0,3,10,82,0.0814
5,20,0,0.5,15,74.5,0.1897
20,40,0,0.1,5,39.9,0.1106
10,40,0.1,1,10,48.9,0.1642
40,0,0.1,0.5,10,59.4,0.0766
5,0,3,1,5,91,0.0481
20,40,0,0.1,5,39.9,0.1549
20,10,0.1,0,15,69.9,0.0378
5,0,3,1,5,91,0.0509
20,10,0.1,0,15,69.9,0.0964
10,40,0.1,1,30,48.9,0.0613
10,20,3,0,2.5,67,0.128
5,40,0.5,0,10,54.5,0.2056
10,40,0.1,1,0,48.9,0.1825
0,10,3,0.1,10,86.9,0.1304
5,20,0,0.5,15,74.5,0.1597
20,5,3,0.5,0,71.5,0.0923
10,40,1,1,5,48.9,0.1646
40,20,0.5,0.1,0,39.4,0.0508
20,5,3,0.5,0,71.5,0.102
40,0,0.1,0.5,10,59.4,0.0676
10,5,0,3,10,82,0.1051
0,5,0.5,1,15,93.5,0.1219
5,10,1,3,0,81,0.0623
40,5,1,0,5,54,0.0919
5,20,0,0.5,15,74.5,0.1193
0,40,1,0.5,2.5,58.5,0.1059
5,5,0.1,0.1,2.5,89.8,0.0905
0,5,0.5,1,15,93.5,0.091
5,20,0,0.5,15,74.5,0.1319
20,0,0.5,3,2.5,76.5,0.0548
20,10,0.1,0,15,69.9,0.1406
20,5,3,0.5,0,71.5,0.077
20,0,0.5,3,2.5,76.5,0.0159
10,40,0.1,1,0,48.9,0.1404
5,40,0.5,0,10,54.5,0.2056
20,10,0.1,0,15,69.9,0.1526
0,0,0,0,0,100,0.0361
